,map_id,time_event,description,victim_name,victim_x,victim_y,victim_rank,killer_name,killer_x,killer_y,killer_rank
3,ERANGEL,1387,AKM,hotgun,415170.0,159024.3,3,jiabingjiweijiu,401857.4,164661.9,2.0
4,ERANGEL,192,UMP9,odbo943x,445577.2,633025.8,61,FYMDB,441696.1,630921.9,30.0
5,ERANGEL,368,AKM,RTGuo,612114.6,605053.8,41,jiabingjiweijiu,603090.4,596968.8,2.0
6,ERANGEL,447,Kar98k,DK-NESS,628142.6,363046.6,39,dongtiao_yingji,627334.6,352195.7,23.0
7,ERANGEL,143,Punch,ztc033219,0.0,0.0,94,Tomotonis,652764.4,94245.4,73.0
8,ERANGEL,592,UMP9,SerDann,729981.7,430060.5,33,SHUIGE0007,728654.1,429466.1,15.0
9,ERANGEL,1111,RedZone,Ubi-Potato,404040.9,384173.4,9,,,,
10,ERANGEL,347,M16A4,MRTIFF,446162.4,631139.8,44,zhaosheng0420,446221.5,632225.2,11.0
11,ERANGEL,795,AKM,Nanyayale,449847.9,298642.8,23,youliTDI,450625.9,298620.2,7.0
12,ERANGEL,119,AKM,tiegegeNO1,371282.5,414943.7,78,fzQUN-625315738,371421.1,414213.9,22.0
13,ERANGEL,115,SCAR-L,CaRl_Coy,437571.9,623314.3,79,xieminglin2,437685.3,623445.1,34.0
14,ERANGEL,199,P1911,huige-666,428961.3,710413.2,60,woshilihanga,429362.8,715170.1,38.0
15,ERANGEL,1104,M416,LIUHAO000,353440.8,135471.4,10,DeatnYeYe,347176.2,134014.7,6.0
16,ERANGEL,102,S12K,Lido_Zhang,459317.5,630030.4,83,liou49330021,459072.7,629970.2,50.0
17,ERANGEL,975,SCAR-L,jhgjfddfx,309435.9,273825.8,17,jiabingjiweijiu,307817.4,277955.6,2.0
18,ERANGEL,612,SKS,FYMDB,399762.4,618025.6,30,zhaosheng0420,419771.8,621147.4,11.0
19,ERANGEL,404,S686,BOHELIANG,443065.2,334681.4,40,NewBeeHui,444199.8,335100.7,28.0
20,ERANGEL,604,M16A4,VA-001,375307.8,363848.8,31,fzQUN-625315738,370417.8,364182.2,22.0
21,ERANGEL,75,S1897,77137713,432755.8,637801.8,93,NeRo1993,432517.1,637415.0,92.0
22,ERANGEL,618,M16A4,BeiFang1,442909.9,294262.3,29,youliTDI,448086.2,294054.2,7.0
23,ERANGEL,212,S1897,ANGRYWIND,570923.9,380384.6,58,youliTDI,570954.8,379877.7,7.0
24,ERANGEL,255,Kar98k,Abccc-d,628925.9,305621.4,51,dongtiao_yingji,625456.9,301670.7,23.0
25,ERANGEL,115,M416,SuannyCC,622439.4,374446.7,80,DK-NESS,622589.6,373820.3,39.0
26,ERANGEL,122,M416,J2yingbangbang,450886.6,620998.9,76,gochugarooman,451516.3,621219.8,46.0
27,ERANGEL,263,M16A4,Sniper_RYAN,605063.6,489357.2,49,TKDDD,606344.6,489026.9,1.0
28,ERANGEL,601,M416,Devil24,445058.9,299217.9,32,BeiFang1,444256.3,298385.4,29.0
29,ERANGEL,76,P92,NeRo1993,432542.7,637388.4,92,ZdOn7,432345.8,636969.3,75.0
30,ERANGEL,119,AKM,Treasure_Lh,445751.9,628250.3,77,xieronglong,445315.5,628666.6,54.0
31,ERANGEL,715,AKM,panjailong,458321.6,470138.8,25,Ubi-Potato,465263.4,472043.8,9.0
32,ERANGEL,1114,M416,Last_life_NO-1,345629.9,142442.3,8,DeatnYeYe,346491.5,136551.8,6.0
33,ERANGEL,635,SCAR-L,NewBeeHui,428130.3,333032.1,28,cpfne,433679.8,328486.7,4.0
34,ERANGEL,212,Hit by Car,skybnag,211552.5,357096.6,57,skybnag,211552.5,357096.6,57.0
35,ERANGEL,219,Micro UZI,xieronglong,449746.8,629770.2,54,mozhiQAQ,449893.3,629885.9,47.0
36,ERANGEL,286,UMP9,mozhiQAQ,449819.8,629809.4,47,FYMDB,449929.3,629898.2,30.0
37,ERANGEL,171,AKM,7kily,430960.5,635195.4,64,zhaosheng0420,430360.6,634984.8,11.0
38,ERANGEL,186,M416,pengpeng0227,608071.9,590192.8,63,RTGuo,610300.3,593362.4,41.0
39,ERANGEL,99,M16A4,dust7110,432046.5,638072.2,84,ZdOn7,432057.8,638299.1,75.0
40,ERANGEL,167,SCAR-L,Superlanguo,437559.2,622991.9,66,xieminglin2,437359.2,622696.4,34.0
41,ERANGEL,1026,M416,ZhanShaBangZi,346292.8,124925.2,13,DeatnYeYe,346864.8,132250.8,6.0
42,ERANGEL,153,S1897,wzwz65,570567.2,389003.2,68,youliTDI,570437.8,388901.6,7.0
43,ERANGEL,647,AKM,AndyGang666,580947.9,476572.6,27,jiabingjiweijiu,584957.3,459884.6,2.0
44,ERANGEL,223,P1911,jianbo0122,429108.2,714834.1,53,woshilihanga,429563.5,715287.2,38.0
45,ERANGEL,985,Falling,SHUIGE0007,511970.0,264527.1,15,,,,
46,ERANGEL,149,Mini 14,CWP1991,651441.9,95703.62,70,Da--mi,653548.6,94390.07,65.0
47,ERANGEL,94,UMP9,wc5202238,436276.6,641666.6,85,FYMDB,439404.7,641628.3,30.0
48,ERANGEL,158,Micro UZI,pan1963,516569.9,499326.9,67,eric11992933,516408.8,498993.9,62.0
49,ERANGEL,1189,M416,youliTDI,474894.6,155684.9,7,TKDDD,444614.8,144400.2,1.0
50,ERANGEL,978,M416,BANGBANGBAN6666,346143.5,136502.7,16,DeatnYeYe,335632.4,143843.8,6.0
51,ERANGEL,249,Vector,zhaoxingchang,468103.1,641326.4,52,liou49330021,464644.9,641507.2,50.0
52,ERANGEL,262,Micro UZI,liou49330021,468176.3,641501.6,50,7H_AGua1,468314.6,641520.3,35.0
53,ERANGEL,985,Falling,Lucky_AWM,513028.3,264985.0,14,,,,
54,ERANGEL,76,Grenade,soulakeba,458383.3,630119.9,91,XiaoJue,458413.7,629973.8,90.0
55,ERANGEL,145,S12K,TiendepzaiVN,607782.1,597047.8,72,RTGuo,608125.1,597394.8,41.0
56,ERANGEL,764,M416,chinese_DL,712621.6,432978.8,24,SHUIGE0007,708925.5,433575.8,15.0
57,ERANGEL,511,AKM,glb66,595621.1,476350.6,37,AndyGang666,586985.8,478352.3,27.0
58,ERANGEL,973,M416,Assassin0826,353473.5,135397.0,18,BANGBANGBAN6666,346952.5,137296.5,16.0
59,ERANGEL,1257,AKM,cpfne,393635.8,206760.0,4,jiabingjiweijiu,364931.8,190858.6,2.0
60,ERANGEL,337,AKM,summer-lty,392020.9,471950.9,45,VA-001,392998.9,472639.6,31.0
61,ERANGEL,1069,SCAR-L,zhaosheng0420,282514.0,243316.4,11,jiabingjiweijiu,303526.7,257949.5,2.0
62,ERANGEL,80,S1897,RYLLLLLL,446353.2,620467.3,89,Nuan888,447629.5,619993.2,87.0
63,ERANGEL,92,S1897,EziZzz,445708.6,626895.0,86,Treasure_Lh,445496.6,626822.7,77.0
64,ERANGEL,916,SCAR-L,haijin10954,376546.5,312062.6,20,jiabingjiweijiu,382400.5,325806.0,2.0
65,ERANGEL,219,S1897,Rocketee,468391.8,643104.3,55,zhaoxingchang,467251.5,643250.4,52.0
66,ERANGEL,111,P92,MaleGeJJ,447364.0,295306.0,81,BeiFang1,447301.2,295587.8,29.0
67,ERANGEL,126,S12K,ZdOn7,430962.8,635255.8,75,7kily,430505.1,635184.6,64.0
68,ERANGEL,218,SCAR-L,ZHANGBINGbb,567427.1,597324.6,56,jiabingjiweijiu,558489.8,598789.4,2.0
69,ERANGEL,151,UMP9,KukudeMenmen,441514.6,632666.6,69,FYMDB,440586.7,635883.4,30.0
70,ERANGEL,72,AKM,STERgood,447024.8,629431.4,94,xieronglong,447593.4,629746.4,54.0
71,ERANGEL,110,DP-28,godzedking,423292.3,324494.7,82,cpfne,423378.8,323740.4,4.0
72,ERANGEL,277,SCAR-L,xinshou57555,603058.1,593804.4,48,jiabingjiweijiu,591474.2,595900.7,2.0
73,ERANGEL,1190,AKM,DeatnYeYe,346495.3,135915.5,6,jiabingjiweijiu,340095.6,200051.8,2.0
74,ERANGEL,846,SCAR-L,kalkin-008,425652.0,337562.2,21,jiabingjiweijiu,440530.9,342585.0,2.0
75,ERANGEL,212,AKM,zxg-balama,622092.1,296170.4,59,dongtiao_yingji,623148.1,296602.4,23.0
76,ERANGEL,569,SKS,xieminglin2,412415.5,619560.9,34,zhaosheng0420,438575.7,619975.1,11.0
77,ERANGEL,84,S12K,gelnek-CH,429812.6,634487.4,88,7kily,429381.1,635110.3,64.0
78,ERANGEL,301,DP-28,gochugarooman,444982.5,631202.3,46,MRTIFF,444538.0,628220.2,44.0
79,ERANGEL,504,SKS,woshilihanga,410965.6,629133.3,38,xieminglin2,406848.0,630780.1,34.0
80,ERANGEL,973,SCAR-L,the_ohly,401284.2,285340.4,19,cpfne,401255.6,282289.3,4.0
81,ERANGEL,89,S686,Nuan888,446973.9,621141.8,87,J2yingbangbang,446876.3,621248.6,76.0
82,ERANGEL,366,S686,MianXxie,443148.5,334823.4,42,NewBeeHui,444455.2,335074.2,28.0
83,ERANGEL,538,AKM,7H_AGua1,395727.2,618275.2,35,FYMDB,394083.2,618930.0,30.0
84,ERANGEL,191,AKM,eric11992933,516062.8,502503.2,62,panjailong,515809.2,502843.8,25.0
