,total_rank,nickname,rank,kills,damage_dealt,walk_distance,ride_distance,time_survived
29,96,MaMa_s,42,0,25,256.6822,0.0,472.491
30,96,HcGeng666,74,0,0,90.4234,147.76054399999998,133.797
31,96,MINIYSY,48,0,19,559.051941,0.0,373.509
32,96,zzz10666,27,0,98,1974.6870000000001,4201.148,979.192
33,96,Markeloff9916,88,0,64,31.8491936,0.0,106.48700000000001
34,96,BAIYUqaq111,61,0,0,289.367432,0.0,204.705
35,96,Mr_Yun615,58,0,29,283.08264199999996,0.0,256.008
36,96,maomao513821,32,2,219,958.5323,0.0,715.1080000000001
37,96,XiaoJue,13,8,981,4598.64941,1241.60291,1477.838
38,96,yjhgfhf,55,1,93,504.255737,0.0,303.504
39,96,haljay520,15,3,384,3319.9892600000003,635.9346,1427.521
40,96,hgjhgjfgfh,93,0,0,36.269020000000005,0.0,101.404
41,96,Nogg520,37,1,89,1077.78394,0.0,592.148
42,96,wanrong,62,0,74,204.096939,0.0,186.745
43,96,Xiao1e,63,0,0,94.34084,0.0,175.14700000000002
44,96,TD-ERGANG,16,1,113,3400.002,1244.59155,1387.38
45,96,Yhtevollxx-cf,34,1,100,1085.92725,0.0,682.575
46,96,hirokoshoo,40,0,0,1226.34473,0.0,491.61199999999997
47,96,777777-qiyue,52,0,60,336.293335,0.0,348.67699999999996
48,96,yang33370769,96,0,0,0.0,0.0,140.371
49,96,golanzijintao,79,0,0,4.094304,0.0,127.29700000000001
50,96,HH-BOBO,86,0,0,0.0,0.0,110.89399999999999
51,96,shimieribendao,50,0,0,645.4646,2225.33057,360.082
52,96,bigschoolpeole,29,1,135,1862.6005899999998,0.0,782.164
53,96,baibai8,12,5,630,2540.282,0.0,1499.743
54,96,Heorqing,11,2,293,1875.56921,2420.57153,1523.132
55,96,IamLYB1988,91,1,99,31.163009999999996,0.0,102.146
56,96,W_s_s_W,44,0,57,740.1892,0.0,411.92
57,96,Special_Tao,35,0,19,865.0987550000001,0.0,676.7280000000001
58,96,Azhmmmmmm,89,0,0,76.29998,0.0,105.059
59,96,UiopZoer,19,2,164,2036.05518,0.0,1320.759
60,96,jackiejeon,76,1,100,38.81534,0.0,130.88
61,96,xiong86,17,0,0,3675.2946799999995,0.0,1372.108
62,96,MCJ-L,69,0,0,59.48546999999999,0.0,146.944
63,96,gipsydanger000,21,3,344,1200.57422,0.0,1272.513
64,96,15724976818,24,0,13,2302.6416,1725.46826,1157.433
65,96,Killer-954,45,2,342,648.140137,0.0,410.402
66,96,Snake-BBQ,90,0,0,0.0,0.0,104.947
67,96,mzm1989,82,0,0,75.67215,0.0,118.816
68,96,chnine12,78,0,0,37.79302,0.0,127.652
69,96,wuyekuangfeng,8,0,43,4717.3009999999995,0.0,1685.8220000000001
70,96,jgter,67,0,0,181.489273,0.0,154.935
71,96,kangruis,25,2,314,1823.26184,2156.6984899999998,1050.552
72,96,Maker-zz,55,0,0,0.0,0.0,1541.251
73,96,SlowLiving1996,51,0,0,756.432556,0.0,351.20599999999996
74,96,lishiwen9,2,3,247,2065.186,8676.883,2034.0610000000001
75,96,LIN-Interlude,49,0,0,876.6280519999999,0.0,365.056
76,96,AlphaXJim,84,0,0,11.92291,0.0,116.75
77,96,DouyuTv_YingDiC,41,3,370,711.743652,0.0,485.733
78,96,Lovingd9,77,1,160,62.69538000000001,0.0,129.839
79,96,CS98428,36,0,0,1722.60657,0.0,669.097
80,96,LZTVz197270Ziyi,83,0,95,58.6829,0.0,118.19200000000001
81,96,Leung0913,33,1,121,815.622559,3578.97754,701.803
82,96,xklnice,20,1,98,1674.22949,0.0,1274.6989999999998
83,96,MAKASAILA,87,0,47,6.55043173,0.0,108.459
84,96,michaeldon,22,0,73,1980.0686,1990.50513,1241.628
85,96,Alone1514,70,0,0,135.867233,0.0,143.702
86,96,smile_520,6,3,300,2048.425,1116.44409,1735.38
87,96,fuck952788,47,1,197,553.121033,0.0,386.523
88,96,Ewei,31,1,100,916.8591,2122.7,719.291
89,96,kukudejisha,59,1,175,252.0589,0.0,229.727
90,96,iehck,4,7,680,2517.10181,1634.58643,1965.746
91,96,fghfgch,53,2,232,586.2902,0.0,346.226
92,96,leicc1992,9,0,54,4424.233,1445.93115,1550.851
93,96,Elenen-zzy,23,3,401,1294.62024,0.0,1160.308
94,96,LieBaoZhan,1,3,360,3343.4567899999997,2885.40942,2034.205
95,96,WarmJer,65,1,185,179.1698,0.0,170.59900000000002
0,93,CCTV-SHU,58,2,200,212.435425,0.0,773.691
1,93,HD-8888,93,0,0,0.0,0.0,127.678
2,93,aip-stop,13,2,262,3033.0690000000004,0.0,1037.317
3,93,Suprermehaha,75,2,231,62.74318,0.0,137.64700000000002
4,93,qianjun0606,38,0,24,542.4095,2138.07227,525.797
5,93,tmxafp1314,24,1,100,1467.09924,2574.2546399999997,877.6160000000001
6,93,hans1478,19,1,161,1242.36255,4906.282,940.0360000000001
7,93,MmXiaoMowang,74,0,0,44.14371,0.0,145.3
8,93,SEYUN2002,9,4,419,859.294,2763.485,1281.47
9,93,WuShaoYe,83,0,0,83.8002,0.0,120.04899999999999
10,93,nannxiaowangzi,16,0,0,1336.7042199999999,4261.464,972.092
11,93,asdrtyy,48,1,58,427.38717699999995,0.0,371.8
12,93,HERO_JieBABA,1,10,1138,1772.40271,3039.9484899999998,1812.965
13,93,zihanfeng,35,2,200,1513.95374,0.0,588.982
14,93,2zang,60,0,156,171.316971,0.0,226.166
15,93,luduizhang,37,0,0,755.147339,444.0088,560.014
16,93,331562564,30,3,301,1022.9268800000001,1938.6875,762.898
17,93,PochiDog,42,1,100,654.8798,0.0,482.23
18,93,NhuQuynhChelsea,55,0,0,301.840118,51.65790560000001,269.389
19,93,chlwns_0,8,0,52,3674.10156,931.2372439999999,1443.692
20,93,PureJZM,34,0,77,1108.85779,1722.31592,696.2639999999999
21,93,TheGoddeath,62,0,101,195.786713,0.0,221.78799999999998
22,93,DDW18,44,0,0,676.113464,0.0,442.845
23,93,ForeverJL1,64,3,372,142.60318,0.0,204.729
24,93,GeolJ,56,0,106,252.20254500000001,0.0,264.69
25,93,y_ydsoul,20,0,51,1735.3774399999998,1322.61682,931.836
26,93,wuliaoxiaogege,40,0,0,665.4519650000001,18.0046711,488.46
27,93,lt8855,66,0,0,60.21003,0.0,183.456
28,93,qiuge---zhuxian,67,0,0,281.25683599999996,0.0,179.423
29,93,XiaoJue,93,0,0,0.0,0.0,125.749
30,93,Dayu_China,90,0,0,23.2451668,0.0,97.292
